Company Name ,Website,Industry,Employee Count,Country ,Status
ACME CORP,https://www.acme-corp.com/about-us,Software,250,USA,customer
acme corp,acme-corp.com,SaaS,250,United States,prospect
TechFlow Solutions,http://techflow.io,Technology,45,UK,prospect
techflow solutions,https://www.techflow.io/,Tech,45,United Kingdom,active
"Global Ventures, Inc.",www.globalventures.com,Consulting,1200,GB,customer
Pixel Perfect Design,https://pixelperfect.design,Design Agency,12,U.K.,prospect
DataMind Analytics,DATAMIND.AI,AI & ML,80,USA,customer
CloudScale,https://www.cloudscale.com,Cloud Infrastructure,340,United States,active
NextGen Marketing,nextgenmarketing.com/,Marketing,25,uk,prospect
Innovate Labs,https://innovatelabs.io,Innovation,150,United States,customer
Summit Consulting ,www.summitconsult.com,Professional Services,890,US,active
Bright Future Tech,http://brightfuture.tech,Software,67,United Kingdom,prospect
Quantum Solutions,https://www.quantum-sol.com/home,Technology,420,USA,customer
Zenith Partners,zenithpartners.co.uk,Financial Services,210,GB,customer
Apex Digital,HTTP://APEXDIGITAL.COM,Digital Marketing,34,uk,prospect
Fusion Enterprises,https://fusion-ent.com,Enterprise Software,580,United States,active
Stellar Systems,www.stellarsystems.io/,IT Services,95,U.K.,prospect
Momentum Group,https://www.momentumgroup.com,Business Consulting,1500,USA,customer
Velocity Labs,velocity-labs.com,Product Development,28,United Kingdom,prospect
Prism Analytics,https://prismanalytics.ai/,Data Science,110,US,active